Filename,Hindi Text
common_voice_hi_23795238.mp3,तुमारे पास तीन महिने बच्छे हैं
common_voice_hi_23795239.mp3,मैं करती हों
common_voice_hi_23795240.mp3,जब में चोटा था मैं हमें सा ज़िली सोकर उड़ता था
common_voice_hi_23795241.mp3,बाई और को एक बुप तरास्ता हैं
common_voice_hi_23795242.mp3,वुजे ये त्रटकी से नफ्रत हैं
common_voice_hi_23795243.mp3,यह सब से अप्से अची हैं
common_voice_hi_23795244.mp3,दबा इतना बारी ता की में ल्से हिला नहीं सगा
common_voice_hi_23795245.mp3,वे कुछ करते कियो नहीं
common_voice_hi_23795246.mp3,मैं पूरी राट्रोईं
common_voice_hi_23795247.mp3,तुम गलत मनजील पर हों
common_voice_hi_23795248.mp3,अब हाने रठोर से चेल में मुलागात की हैं
common_voice_hi_23795249.mp3,उसने आप जे बहुड देड तक लिए नतजार कर वाया
common_voice_hi_23795250.mp3,बाये मुरो और तुमे एक केफे मिलेगा
common_voice_hi_23795251.mp3,तुमारी साइकल मेरी साइकल जैसी हैं
common_voice_hi_23795252.mp3,उसने मेरे किलाग रट्या उताया
common_voice_hi_23795358.mp3,"अगर तान्ड़, बाज बद्खार रहे है तान्ड़"
common_voice_hi_23795359.mp3,चाईवाई कुछ पीलेंगी आप
common_voice_hi_23795360.mp3,वडचाई पीरहाया
common_voice_hi_23795361.mp3,अब मच्च्रों को मारेंगे मच्च्र
common_voice_hi_23795362.mp3,जेएक मुझ से तीन साल बड़ा है
common_voice_hi_23796043.mp3,इक पागल अन्सान्त को अपने किये दरे के लिए जिम्मेदार नहीं देराया जासकता
common_voice_hi_23796044.mp3,कुन जीआदा तेज बागता है कें या तोनी
common_voice_hi_23796046.mp3,हम ने उस उम्मीद्वार को अपना मत दिया
common_voice_hi_23796048.mp3,उनो ने एक तुस्रे को देखा
common_voice_hi_23796049.mp3,अभी पोलेंड में क्या हुरहा है
common_voice_hi_23796063.mp3,मैं सफर पर उसके साथ कया
common_voice_hi_23796064.mp3,उस्छे मेरे स्टन पकड लिए
common_voice_hi_23796065.mp3,"ओ़ा ।स्मिल्एदा आँ,।सक सूवा adre"
common_voice_hi_23796066.mp3,लोगों ने पुलिस्टीम पर किया हम्ला वर्दी पाटकर जीप पे शीषे तोडे
common_voice_hi_23796067.mp3,अमारे पास तो बस चाई है
common_voice_hi_23796151.mp3,"तक्नीफी क्रान्तीम में करोबार जगत में चिनाद्या, सात में नये अवसर भी आरुंपूरी."
common_voice_hi_23796153.mp3,अपना काना काया
common_voice_hi_23796155.mp3,उसे आपना सकूल पवुध पासंद है
common_voice_hi_23796156.mp3,पिछले कुछ सालों से मोसम बहुत जीब है
common_voice_hi_23796157.mp3,बड़नतीजे के लिए बेचेन है
common_voice_hi_23801317.mp3,मुइच्यल्ठ्स müsste त्यना क retrospectively if this trigger isags and it will ring a bell in your eyes के बा� recently got a second vehicle णेछ वान अंठाुं बहुटे! ने छीड बादा व्ऱिये ज्या luck वग्याय प्रा लफातर्र्या! जे रव मार प्सेगे रावम करै промअसर् Love यस पहली अ�wy द्यायis के ब्वझित � frequently
common_voice_hi_23809699.mp3,"रूई, तुम्हारे तुस्त आरे है"
common_voice_hi_23809700.mp3,लगता है मुझे सहाईता की आववषक्ता है
common_voice_hi_23809701.mp3,उस्ते मुजे चिट्टी का जवब ना देने के ले डान्ता
common_voice_hi_23809702.mp3,या आस्पास में एक चोप्री हूँ खती थी
common_voice_hi_23809703.mp3,"बारद, सुदीर मनकब से बाहर गुवा"
common_voice_hi_23809709.mp3,गर्वतिने बुर्गा क्या पहाना बड़ा गया धंगा
common_voice_hi_23809710.mp3,बच्छे बगीच में खेल रहे हैं
common_voice_hi_23809711.mp3,इस त्वीप पर बहुत कों लोग रहते हैं
common_voice_hi_23809712.mp3,सज्जन्सिंग रंद्रुद का ट्रेलरिलीस प्रजी के रोल में दिखेंगे दिलजी तेसानच
common_voice_hi_23809713.mp3,तो में तोल जादा समज्दर हूना चैए ए।
common_voice_hi_23809719.mp3,तुम यहा सारे के सारे पेड कार्ट डाव ग़े जा?
common_voice_hi_23809720.mp3,वो वो तिपर गुस्णाल गुए
common_voice_hi_23809721.mp3,"उत्तप्रदेश में चल रहें, नावफरजी विश्वाविद्या लोगी जान्च सआटी को."
common_voice_hi_23809722.mp3,कारा रं तुमपडष्ता है
common_voice_hi_23809723.mp3,वो शाडी शुदा नहीं है
common_voice_hi_23809915.mp3,अपकी तीम ने बान्दी काले पट्टी तो निसाने पर आई भिराद बिग्रेट बीग्रेट श्टब कर दो
common_voice_hi_23809919.mp3,आतन गवादी लक्नों को भी दे सकते हैं पतान कोटीजे से गाओ
common_voice_hi_23809921.mp3,बोगत कम लोग ते जो वहा नहीं गये
common_voice_hi_23809924.mp3,अजे अपने पिता की गरीवी पर सर्व नहीं आती है
common_voice_hi_23809926.mp3,में तमारा साथ सबर कनना चाती हूँ
common_voice_hi_23809929.mp3,मुम बत्ति अपने आपे बुजगेई
common_voice_hi_23809930.mp3,स्वन पर्टिकि साईना नेवाल की नजरे
common_voice_hi_23809931.mp3,तुम गारी चला सकते हो क्या?
common_voice_hi_23809932.mp3,राम इत्ली मेहें
common_voice_hi_23809936.mp3,अपनी तो पी उतार अतारा करो
common_voice_hi_23824449.mp3,तो मंदेरे में क्यों बैटी होग
common_voice_hi_23824450.mp3,वो मुच से दो साल चोटी है
common_voice_hi_23824451.mp3,मेरी नजर इंदिनो कमजोर हो रही है
common_voice_hi_23824452.mp3,वो तींग अंटो में वापिस आएगा
common_voice_hi_23824453.mp3,वे पाजबचे चाई पिकती हैं
common_voice_hi_23824456.mp3,महराश्ट पब्लिक सर्विस कमिसन में वेक्न्सी
common_voice_hi_23824457.mp3,अदालत में उपस्तिक नहीं रहीं सीला दिखसित
common_voice_hi_23824458.mp3,उस्रिए सब कुछ अपने आप किया
common_voice_hi_23824459.mp3,तुन्या बदल गई है
common_voice_hi_23824460.mp3,या अप का फैस्ला नहीं है
common_voice_hi_23824468.mp3,मैं सीरी आशे हुं
common_voice_hi_23824470.mp3,अम अंदर आर है हैं
common_voice_hi_23824471.mp3,अप यह तेखार हैं?
common_voice_hi_23824472.mp3,अदिया ताई मेरे सुट के साजमती नहीं है
common_voice_hi_23824473.mp3,वो बहुत यहसे हूली औरत है
common_voice_hi_23828686.mp3,बूलने और करने में परक होता है
common_voice_hi_23828697.mp3,चीनी गरम कोफी में गोल जाती है
common_voice_hi_23828698.mp3,हम सब पागल है
common_voice_hi_23828699.mp3,वह गोडा नहीं वह दो कदा है
common_voice_hi_23828700.mp3,वह उसका दोस तेहाए
common_voice_hi_23828701.mp3,वह अवी तक यहा नहीं आई आई है
common_voice_hi_23828712.mp3,जान कदरे में है?
common_voice_hi_23828713.mp3,मैं चीन मिछ चे महीने रहा हूं
common_voice_hi_23828714.mp3,उसने तो शुक्रीया तक नहीं कहा
common_voice_hi_23828715.mp3,राज इ सबहा के दिप्टी चेर्मेन के लिए सईएक्त उंभी दवार कडा कर सकता है बिपक्ष.
common_voice_hi_23828716.mp3,अर्टो को महवोज जगा की तलाश
common_voice_hi_23828722.mp3,तुम मरनेवाले हो
common_voice_hi_23828723.mp3,त tearing
common_voice_hi_23828724.mp3,बाइन नहीं पीती
common_voice_hi_23828725.mp3,खल्यों की गुरों की कर्टूद सुन शरम से जुब जाएंगी आपकी आखे
common_voice_hi_23828727.mp3,"निरभ्या के आरोपीों को फासी देने की तैयारी, बक्सर जेल में बन रही रस्सी."
common_voice_hi_23828747.mp3,कोल काता अर्बोट पद्दो अनराइ महिलाँ को रहासत में लिया गया
common_voice_hi_23828748.mp3,तुमही जो अच्छा लगता है लेलो
common_voice_hi_23828749.mp3,अम तोम की मतद करते हैं
common_voice_hi_23828750.mp3,गुछ तोरना मत
common_voice_hi_23828751.mp3,यह दो कभी कब अदम नहां होगा
common_voice_hi_23828802.mp3,"बज़े बहावी प्रदान मंद्री ना समजा जाए, राहुल गान्दी"
common_voice_hi_23828803.mp3,"जवान भीटे की वर्ठी के पीचे गीद गाती चली मा, जिसने देखा वफक पडा."
common_voice_hi_23828804.mp3,जिम अपने पापा पर जाता है
common_voice_hi_23828805.mp3,मुमबाई लोकल ट्रेनू में लगेगा एसी तैनाद हुँगे बाूंसर
common_voice_hi_23828806.mp3,एक बार और प्रएट न करो
common_voice_hi_23830498.mp3,तुमहरे उट्टने का समय हुगया मुँ
common_voice_hi_23830499.mp3,"शादिवादी के चक्रो में नहीं परना फिल हाल, कंगनार लोड."
common_voice_hi_23830500.mp3,वहे उस्दूर गटना का चसम दीद गवा था
common_voice_hi_23830501.mp3,शिंगापृर को मलाए में सिंगापृरा कहते हैं
common_voice_hi_23830502.mp3,उस्ट्र्गट्ना ने पुरे स्कूल को सद्मा बाँचाया
common_voice_hi_23830508.mp3,तुमे मेरी मदूथ चाही क्या?
common_voice_hi_23830509.mp3,मैं हुकाइ तो गया वा हूं
common_voice_hi_23830510.mp3,निता आम्बनि बनी रिलाहिंच अंटेश्टीज की पहली महीला डारेक्तर
common_voice_hi_23830511.mp3,तुम आस्ली हीरा कभी देका ही नहीं हैं
common_voice_hi_23830512.mp3,तो आई जहाए भी जाए वहे कुट्ता उसके पिछे पिछे जाता ता
common_voice_hi_23830513.mp3,"वहा आमीर है, उ हाई पर कनजूस भी है"
common_voice_hi_23830514.mp3,गुजराद सरकार से नाराज आदिवाशी सामाज मंतरी की गाडी पर बस्चाई पद्खर
common_voice_hi_23830515.mp3,में तरा वा ता
common_voice_hi_23830516.mp3,अचीवा लिएडो
common_voice_hi_23830517.mp3,अपका स्वागत हैं
common_voice_hi_23830518.mp3,तो में सब ग़ा दिया
common_voice_hi_23830519.mp3,वहां मुझे बारत के बारे में कहानिया सुनाया करता ता है।
common_voice_hi_23830520.mp3,मेरा नाम जेम से
common_voice_hi_23830521.mp3,अगली साल में हवाई चार हाँ
common_voice_hi_23830522.mp3,उसे अपनी को उसे सुबहे साथ बजे उठाने की बाद का याधी दिलाया हूं
common_voice_hi_23830523.mp3,अनील कपुर भोपी देवल का भ्रो माश देख सर्मागे सल्मान वीडियो वाईरल
common_voice_hi_23830524.mp3,बिज्जेपी में आज सामिल हुँगे बूवने सुर कलिता और जीवेवे कनन्द
common_voice_hi_23830525.mp3,"गूम फिरकर बात मत करो, सीडे सीडे बोलो"
common_voice_hi_23830526.mp3,अप उसराद कहाथ हैं
common_voice_hi_23830527.mp3,"जल्दी ही, तेरापर केवल 3 विसाल देस रहे देखे ते"
common_voice_hi_23830779.mp3,अगर वह इस तरा मन लगाकर पटता रहीगा तो परिक्षा में अवश्षे पास होगा
common_voice_hi_23830780.mp3,वहा खानी सुंकर पागल हो गया
common_voice_hi_23830781.mp3,तुमे हो क्या गया था?
common_voice_hi_23830782.mp3,अम दोस्त हैं और दोस्ते एक तुस्टरे की मदध कते हैं
common_voice_hi_23830783.mp3,तुन्याक तबसबसे अलक भिकारी ये है इंके भीख मागने का मकसत
common_voice_hi_23830797.mp3,बहुत बिमानन कम्पनिया मस्वूत भ्लोबल ठ्रीके लेई सही बागत श्पाईस जेद
common_voice_hi_23830798.mp3,कर में चार्यों को तीन हब्तों के लिए काम से निकाल डिया लिया.
common_voice_hi_23830800.mp3,मैं वह वह खियो पहनोंगी?
common_voice_hi_23830801.mp3,तुम तु यह भी नी जानते कि मैं कोन हूं
common_voice_hi_23830802.mp3,मैंने अशेनी येम स्मचाया
common_voice_hi_23830812.mp3,यर्पोट की रास्ते पर गाडी कराम हो गई
common_voice_hi_23830813.mp3,जा वहा एक आज्ली हीडा है?
common_voice_hi_23830814.mp3,शद्रुगन सिना ले चापे की ताइमिंग पर उठाए सवाल मोदी सरकार पर सादा निशाना
common_voice_hi_23830815.mp3,अमें लोगों के पीट के पीचे उनके ब्राए नहीं गण निजाही है
common_voice_hi_23830816.mp3,"तुम तग गे हो, है ना?"
common_voice_hi_23832722.mp3,उसको तेरना नहीं आता
common_voice_hi_23832723.mp3,बच्ची पर सिक्विराट का ये पोष्ट पड आब भी होजाँगे एमोजनाग
common_voice_hi_23832724.mp3,ब्री टेन में सिखाई जार ही ख्याए चीनी भासुः
common_voice_hi_23832725.mp3,जेम्स के मेरन ने फिल्मे बनाने का एक नया तरीका निरमाड किया
common_voice_hi_23832726.mp3,सोन्नम के संगीट से करीना गाया करीस्मा वरुंका तारीखा पर डाँंच.
common_voice_hi_23832732.mp3,पत्र किस नेलिखां
common_voice_hi_23832733.mp3,कئी इत्तिहाँस्टिक फेसलो के साखसी रहे औरूंजेडली अप मंटरी मन्डल में खलेगी कमी
common_voice_hi_23832734.mp3,तो में निले कप्रे प्यन रखेते हैं
common_voice_hi_23832735.mp3,मुजे बच्चे कुसुलाना है
common_voice_hi_23832736.mp3,लो के अते है कि इस गर में बूथ है
common_voice_hi_23832737.mp3,अदुँची नहीं वोलती
common_voice_hi_23832738.mp3,मैं अपनी वर्तमान आम्दनी से संदूस्त हूँ।
common_voice_hi_23832739.mp3,चिगरेट के लिए एक विक्तिक लिए खिट्या करने ले यूग को आजीवन कार अज
common_voice_hi_23832740.mp3,"तागरे निदन्द, तेक्सी वोट्व सेवार रहेगी बन्द"
common_voice_hi_23832741.mp3,"कूडे का देर बना देरा दून, सवाई करमियो की हर्ताल से चारो और गंद की."
common_voice_hi_23832954.mp3,दर वाजा खोली
common_voice_hi_23832955.mp3,बैंटिंग परिक्षा पास करने के पाज्ट्ट्रिप्स
common_voice_hi_23832956.mp3,अगर तो अगर लग मुझे मुर्ख बन्ना पसंद नहीं है
common_voice_hi_23832957.mp3,वैए किसकी नोकरी के पीचे पडा है
common_voice_hi_23832958.mp3,तोमसे को मैं उसे सादी करना चाती हूँ।
common_voice_hi_23833315.mp3,अं एक फिल्म देखरे ही है
common_voice_hi_23833316.mp3,बोतल चुर्डो
common_voice_hi_23833317.mp3,मुझे एक कब चाए चाहिया
common_voice_hi_23833318.mp3,अमें नहीं पता हम कहा है
common_voice_hi_23833319.mp3,अकिस्टान ले आतंकी हाफीज सहीध के बेटे पर भी आतंवादी हमरे काखत्रा
common_voice_hi_23833325.mp3,"उदिन चार, बजरंगदल और भज्युमो से जुडे हुए ते अई अई अई अई च्छार सुबोद सीके हत्या रोकी।"
common_voice_hi_23833326.mp3,है
common_voice_hi_23833327.mp3,"मलयानम के आश्रवाद पर अखिलेश बोले निताजी जिण्डाबग, शिवपाल नदारद"
common_voice_hi_23833328.mp3,मैं स्कूल जानन लही जाता हूँ
common_voice_hi_23833329.mp3,आम चुनाउ के लिए कुंगरे सतर्क जाड आरक्षन से फिर वोट बटोरे गी कुंगरेस
