Filename,Marathi Translation
common_voice_hi_23795238.mp3,आपल्याकडे तीन महिने आहेत
common_voice_hi_23795239.mp3,मी करतो
common_voice_hi_23795240.mp3,"जेव्हा मी चिंटा होतो, तेव्हा मी आमच्याबरोबर झोपायचो"
common_voice_hi_23795241.mp3,बाई आणि को को बुप तारास्ता
common_voice_hi_23795242.mp3,वुजे ट्रंकसह एकजूट आहे
common_voice_hi_23795243.mp3,ते सर्व चांगले आहेत
common_voice_hi_23795244.mp3,हे इतके नाही की मी हलवत नाही
common_voice_hi_23795245.mp3,ते काहीही करत नाहीत
common_voice_hi_23795246.mp3,मी संपूर्ण रॅटोइन आहे
common_voice_hi_23795247.mp3,आपण चुकीच्या माणसावर आहात
common_voice_hi_23795248.mp3,आता हेन रॅथोर शिष्यात भेटला आहे
common_voice_hi_23795249.mp3,त्याने तुम्हाला मृत कृत्यात नेले
common_voice_hi_23795250.mp3,डावा मुरो आणि तुम्हाला केफे मिळेल
common_voice_hi_23795251.mp3,आपले चक्र माझ्या चक्रासारखे आहे
common_voice_hi_23795252.mp3,त्याने माझा किलॅग रत्यला उतरविले
common_voice_hi_23795358.mp3,जर टँड असेल तर गरुड वाईट आहे
common_voice_hi_23795359.mp3,चयवाईला काहीतरी मारहाण केली जाईल
common_voice_hi_23795360.mp3,वडचई पिरहाया
common_voice_hi_23795361.mp3,आता मॅच्रास मास्टर्सला मारतील
common_voice_hi_23795362.mp3,जॅक माझ्यापेक्षा तीन वर्षांचा आहे
common_voice_hi_23796043.mp3,मी त्याच्या कृतीसाठी जबाबदार असलेल्या वेड्या अन्सॅन्टला उशीर करत नाही
common_voice_hi_23796044.mp3,कुन जाडा ही तीव्र बंड आहे
common_voice_hi_23796046.mp3,आम्ही त्या उमेदवाराला मतदान केले
common_voice_hi_23796048.mp3,त्यांनी टस्रे पाहिले
common_voice_hi_23796049.mp3,सध्या पोलंडमध्ये काय आहे
common_voice_hi_23796063.mp3,मी त्याच्याबरोबर प्रवासात केले
common_voice_hi_23796064.mp3,माझे स्टन धरा
common_voice_hi_23796065.mp3,ओ.
common_voice_hi_23796066.mp3,लोकांनी जीपवर आरसा तोडला
common_voice_hi_23796067.mp3,आमरे फक्त चाई आहे
common_voice_hi_23796151.mp3,"जगातील तकनिफी क्रांती, चिनद्या, सात मध्ये नवीन संधी."
common_voice_hi_23796153.mp3,अपना काना काया
common_voice_hi_23796155.mp3,त्याचा स्वतःचा चांगला पासँड आहे
common_voice_hi_23796156.mp3,गेल्या काही वर्षांपासून मोसम खूप आनंदी आहे
common_voice_hi_23796157.mp3,बन्नाटीज अस्वस्थ आहे
common_voice_hi_23801317.mp3,जर हा ट्रिगर करतो आणि आपल्या डोळ्यांत एक घंटा वाजेल तर अलीकडेच दुसरे वाहन आणि सर्वोत्कृष्ट! छद बधा आणि सेज साजी नशीब वाघ्या प्रिया! जे रहा पास रावम कराई про पाहिजे असार प्रेम होय
common_voice_hi_23809699.mp3,कापूस
common_voice_hi_23809700.mp3,मला असे वाटते की मला सहमताची गरज आहे
common_voice_hi_23809701.mp3,मला सर्वोत्कृष्ट न देता दंता.
common_voice_hi_23809702.mp3,किंवा मी अ‍ॅस्पासमध्ये एक चोप्री खाणा करायचो
common_voice_hi_23809703.mp3,"बरद, सुदीर मानकाब गुवा"
common_voice_hi_23809709.mp3,गरवती बर्गाने एक मोठा त्रास घातला आहे
common_voice_hi_23809710.mp3,बागेत बस खेळत आहेत
common_voice_hi_23809711.mp3,या तिमाहीत बरेच लोक राहतात
common_voice_hi_23809712.mp3,दिलजी तेहसच रँडरुडच्या ट्रेलरस प्रजीच्या भूमिकेत दिसतील
common_voice_hi_23809713.mp3,म्हणून माझे वजन एका मधापेक्षा जास्त करावे लागेल.
common_voice_hi_23809719.mp3,तू इथे सर्व झाडे आहेस का?
common_voice_hi_23809720.mp3,तो टिपर गुझल आहे
common_voice_hi_23809721.mp3,"उत्तर प्रदेशात चालत, जगभरात नवाफरजी जीवन जगतील."
common_voice_hi_23809722.mp3,कारा तुमचा आहे
common_voice_hi_23809723.mp3,त्याला धक्का बसला नाही
common_voice_hi_23809915.mp3,"तुझी तिमी, बांदी ब्लॅक पट्टी, निसाने वर ये, भिराद बाग्रेट बेगेरेट"
common_voice_hi_23809919.mp3,अंटारन ग्वादी लकन्स यांना पाटण कोटीबरोबर गाण्यासाठी देखील देऊ शकते
common_voice_hi_23809921.mp3,तेथे न गेलेले बोगॅट कमी लोक
common_voice_hi_23809924.mp3,अजे आपल्या वडिलांच्या गरीबीवर येत नाही
common_voice_hi_23809926.mp3,मी तमाराबरोबर साबर कनाना जप करतो
common_voice_hi_23809929.mp3,आई बाटी
common_voice_hi_23809930.mp3,सेल्फ पार्टी सायना नेवलची गाय
common_voice_hi_23809931.mp3,आपण गारी चालवू शकता?
common_voice_hi_23809932.mp3,राम इटली मेहेन
common_voice_hi_23809936.mp3,आपले पेय प्या
common_voice_hi_23824449.mp3,मग मंडरेमध्ये एक पट्टा का असेल?
